date,bitcoin,btc,cryptocurrency,hodl,blockchain
2018-03-15,13.0,18.0,22.0,8.0,46.0
2018-03-16,11.0,16.0,15.0,5.0,40.0
2018-03-17,10.0,15.0,15.0,5.0,32.0
2018-03-18,12.0,18.0,22.0,6.0,30.0
2018-03-19,11.0,18.0,17.0,9.0,43.0
2018-03-20,10.0,18.0,16.0,6.0,48.0
2018-03-21,10.0,19.0,15.0,6.0,46.0
2018-03-22,10.0,15.0,14.0,6.0,49.0
2018-03-23,9.0,14.0,13.0,5.0,42.0
2018-03-24,7.0,14.0,11.0,5.0,31.0
2018-03-25,7.0,13.0,11.0,2.0,28.0
2018-03-26,11.0,15.0,14.0,4.0,41.0
2018-03-27,10.0,14.0,14.0,7.0,43.0
2018-03-28,9.0,14.0,13.0,7.0,41.0
2018-03-29,11.0,16.0,17.0,7.0,38.0
2018-03-30,12.0,19.0,18.0,9.0,33.0
2018-03-31,9.0,14.0,11.0,5.0,26.0
2018-04-01,9.0,15.0,13.0,6.0,24.0
2018-04-02,11.0,15.0,12.0,6.0,36.0
2018-04-03,10.0,15.0,13.0,4.0,40.0
2018-04-04,9.0,14.0,12.0,5.0,40.0
2018-04-05,10.0,15.0,14.0,4.0,41.0
2018-04-06,10.0,15.0,14.0,8.0,37.0
2018-04-07,8.0,14.0,11.0,6.0,26.0
2018-04-08,7.0,12.0,11.0,5.0,27.0
2018-04-09,9.0,14.0,12.0,6.0,39.0
2018-04-10,9.0,14.0,11.0,5.0,44.0
2018-04-11,8.0,13.0,11.0,4.0,42.0
2018-04-12,10.0,16.0,13.0,7.0,40.0
2018-04-13,10.0,18.0,14.0,4.0,36.0
2018-04-14,7.0,14.0,11.0,3.0,25.0
2018-04-15,7.0,14.0,11.0,3.0,30.0
2018-04-16,8.0,15.0,11.0,3.0,39.0
2018-04-17,8.0,14.0,13.0,4.0,43.0
2018-04-18,8.0,13.0,12.0,4.0,42.0
2018-04-19,8.0,14.0,13.0,4.0,42.0
2018-04-20,8.0,16.0,13.0,4.0,39.0
2018-04-21,7.0,15.0,12.0,3.0,28.0
2018-04-22,7.0,14.0,11.0,3.0,28.0
2018-04-23,8.0,15.0,11.0,4.0,44.0
2018-04-24,10.0,18.0,15.0,6.0,44.0
2018-04-25,9.0,17.0,14.0,5.0,43.0
2018-04-26,7.0,14.0,11.0,3.0,41.0
2018-04-27,7.0,15.0,11.0,3.0,38.0
2018-04-28,6.0,15.0,11.0,3.0,27.0
2018-04-29,6.0,14.0,11.0,3.0,27.0
2018-04-30,7.0,14.0,12.0,3.0,39.0
2018-05-01,7.0,14.0,13.0,2.0,38.0
2018-05-02,7.0,13.0,11.0,3.0,42.0
2018-05-03,8.0,14.0,12.0,3.0,44.0
2018-05-04,7.0,15.0,11.0,4.0,40.0
2018-05-05,7.0,14.0,11.0,3.0,26.0
2018-05-06,7.0,13.0,10.0,2.0,27.0
2018-05-07,7.0,13.0,12.0,4.0,37.0
2018-05-08,7.0,13.0,12.0,3.0,44.0
2018-05-09,7.0,13.0,10.0,3.0,45.0
2018-05-10,7.0,12.0,10.0,2.0,39.0
2018-05-11,8.0,14.0,14.0,4.0,40.0
2018-05-12,6.0,12.0,10.0,3.0,29.0
2018-05-13,6.0,12.0,10.0,2.0,29.0
2018-05-14,7.0,13.0,12.0,3.0,47.0
2018-05-15,7.0,12.0,11.0,2.0,47.0
2018-05-16,6.0,12.0,12.0,3.0,49.0
2018-05-17,6.0,12.0,10.0,3.0,45.0
2018-05-18,6.0,12.0,10.0,3.0,41.0
2018-05-19,5.0,11.0,8.0,2.0,25.0
2018-05-20,6.0,11.0,9.0,3.0,27.0
2018-05-21,6.0,12.0,9.0,1.0,36.0
2018-05-22,6.0,12.0,9.0,3.0,40.0
2018-05-23,8.0,13.0,12.0,3.0,42.0
2018-05-24,7.0,13.0,10.0,2.0,41.0
2018-05-25,6.0,12.0,9.0,2.0,35.0
2018-05-26,6.0,11.0,7.0,3.0,23.0
2018-05-27,6.0,10.0,9.0,2.0,25.0
2018-05-28,6.0,11.0,10.0,3.0,35.0
2018-05-29,6.0,12.0,10.0,1.0,38.0
2018-05-30,6.0,12.0,9.0,3.0,41.0
2018-05-31,6.0,11.0,9.0,2.0,42.0
2018-06-01,5.0,11.0,8.0,3.0,35.0
2018-06-02,5.0,11.0,8.0,2.0,25.0
2018-06-03,5.0,10.0,8.0,3.0,28.0
2018-06-04,6.0,11.0,9.0,2.0,41.0
2018-06-05,6.0,11.0,9.0,2.0,38.0
2018-06-06,6.0,10.0,9.0,1.0,41.0
2018-06-07,6.0,10.0,9.0,2.0,40.0
2018-06-08,5.0,10.0,7.0,1.0,33.0
2018-06-09,5.0,9.0,7.0,1.0,20.0
2018-06-10,6.0,12.0,10.0,3.0,24.0
2018-06-11,9.0,13.0,11.0,4.0,37.0
2018-06-12,7.0,12.0,11.0,3.0,38.0
2018-06-13,8.0,13.0,13.0,4.0,38.0
2018-06-14,7.0,14.0,9.0,4.0,37.0
2018-06-15,6.0,12.0,8.0,2.0,33.0
2018-06-16,5.0,11.0,7.0,2.0,23.0
2018-06-17,5.0,9.0,7.0,2.0,21.0
2018-06-18,6.0,11.0,8.0,2.0,34.0
2018-06-19,6.0,11.0,8.0,3.0,38.0
2018-06-20,6.0,11.0,8.0,2.0,37.0
2018-06-21,5.0,10.0,8.0,2.0,37.0
2018-06-22,7.0,12.0,10.0,3.0,33.0
2018-06-23,6.0,12.0,8.0,1.0,24.0
2018-06-24,7.0,13.0,9.0,3.0,24.0
2018-06-25,6.0,12.0,8.0,2.0,34.0
2018-06-26,6.0,11.0,7.0,3.0,35.0
2018-06-27,6.0,11.0,8.0,2.0,36.0
2018-06-28,6.0,9.0,8.0,1.0,37.0
2018-06-29,7.0,13.0,9.0,4.0,34.0
2018-06-30,6.0,12.0,8.0,2.0,22.0
2018-07-01,5.0,10.0,7.0,2.0,20.0
2018-07-02,6.0,11.0,8.0,2.0,29.0
2018-07-03,6.0,11.0,8.0,1.0,34.0
2018-07-04,5.0,11.0,8.0,1.0,34.0
2018-07-05,6.0,11.0,7.0,1.0,34.0
2018-07-06,5.0,9.0,7.0,1.0,29.0
2018-07-07,5.0,9.0,6.0,1.0,20.0
2018-07-08,5.0,10.0,7.0,1.0,22.0
2018-07-09,5.0,9.0,7.0,2.0,33.0
2018-07-10,6.0,10.0,8.0,1.0,32.0
2018-07-11,5.0,10.0,6.0,2.0,37.0
2018-07-12,6.0,11.0,7.0,2.0,37.0
2018-07-13,5.0,10.0,7.0,2.0,29.0
2018-07-14,5.0,9.0,6.0,3.0,20.0
2018-07-15,4.0,8.0,6.0,2.0,22.0
2018-07-16,6.0,11.0,7.0,1.0,32.0
2018-07-17,7.0,13.0,9.0,2.0,37.0
2018-07-18,8.0,15.0,10.0,2.0,41.0
2018-07-19,6.0,12.0,9.0,3.0,39.0
2018-07-20,6.0,12.0,9.0,3.0,33.0
2018-07-21,6.0,11.0,7.0,0.0,21.0
2018-07-22,5.0,11.0,7.0,2.0,22.0
2018-07-23,6.0,13.0,8.0,2.0,33.0
2018-07-24,9.0,15.0,9.0,2.0,40.0
2018-07-25,8.0,14.0,8.0,3.0,36.0
2018-07-26,7.0,13.0,8.0,2.0,35.0
2018-07-27,7.0,12.0,8.0,1.0,32.0
2018-07-28,6.0,11.0,7.0,3.0,23.0
2018-07-29,6.0,11.0,6.0,1.0,22.0
2018-07-30,6.0,12.0,7.0,4.0,37.0
2018-07-31,6.0,11.0,8.0,2.0,34.0
